_id,scode,housenumber,pavilion,street_d_name,street_s_name,district_name,post_index,change_doc_date,change_doc_state,x,y
1,1003,1,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02516643,49.84502831
2,1003,10,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02282944,49.85539702
3,1003,101,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.01574690,49.86533381
4,1003,101а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,2015-07-01T00:00:00,347,24.01589257,49.86533129
5,1003,103,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79020,,,24.01562991,49.86607031
6,1003,105,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.01489038,49.86702634
7,1003,107,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.01560183,49.86786784
8,1003,11,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02530304,49.84686318
9,1003,12,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02232714,49.85636891
10,1003,13,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02531082,49.84692642
11,1003,14,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,2015-01-28T00:00:00,45,24.02020298,49.86110640
12,1003,15,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02532606,49.84704274
13,1003,16а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02601131,49.85544443
14,1003,16з,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02596202,49.85568731
15,1003,17,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02534529,49.84719294
16,1003,19,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02536294,49.84733158
17,1003,2,"","Чорновола В.,просп.",В.Чорновола,Галицький район,,,,24.02601538,49.84756087
18,1003,21,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02537670,49.84743891
19,1003,23,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02539191,49.84756031
20,1003,25,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02541501,49.84773424
21,1003,27,"","Чорновола В.,просп.",В.Чорновола,Галицький район,,,,24.02552375,49.84795772
22,1003,31,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02554110,49.84863310
23,1003,39,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02527491,49.84908371
24,1003,41,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02308623,49.85333062
25,1003,43,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02280973,49.85378414
26,1003,43а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02214651,49.85394421
27,1003,45,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02207332,49.85499519
28,1003,45а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02325320,49.85296699
29,1003,45г,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,2016-08-17T00:00:00,488,24.02226618,49.85140040
30,1003,47,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02077217,49.85557175
31,1003,49,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.01995995,49.85566610
32,1003,49б,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,2016-05-25T00:00:00,256,24.02203576,49.85375459
33,1003,53,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02006541,49.85589389
34,1003,55,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.01942125,49.85549966
35,1003,57,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02118390,49.85599456
36,1003,57а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.02116228,49.85620721
37,1003,59,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.02032201,49.85738007
38,1003,6,"","Чорновола В.,просп.",В.Чорновола,Галицький район,79019,,,24.02525686,49.85003614
39,1003,61,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.01963563,49.85780645
40,1003,63,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.01977497,49.85844463
41,1003,63а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,,,24.01945429,49.85824262
42,1003,65,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,79019,,,24.01951012,49.85902845
43,1003,65а,"","Чорновола В.,просп.",В.Чорновола,Шевченківський район,,2016-05-25T00:00:00,256,24.01852613,49.85899040
