SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
вул.5-й парк;1;;female;0;0;0;0;0;0;0;0
вул.Абхазька;1;;female;0;1;0;1;0;1;0;3
вул.Абхазька;10а;;female;0;0;0;0;0;0;0;0
вул.Абхазька;1а;;female;0;0;0;0;2;1;0;3
вул.Абхазька;1а;б;female;0;1;0;0;0;0;0;1
вул.Абхазька;2;;female;0;1;0;0;1;0;0;2
вул.Абхазька;4;;female;1;2;0;0;1;1;0;5
вул.Абхазька;5;;female;0;0;0;1;0;1;0;2
вул.Абхазька;6;;female;0;0;0;0;1;1;0;2
вул.Абхазька;9;;female;0;0;0;0;1;0;0;1
вул.Авіаційна;1;;female;5;24;9;40;27;3;0;108
вул.Авіаційна;12;;female;0;0;0;1;0;1;0;2
вул.Авіаційна;14;;female;0;0;0;1;0;0;0;1
вул.Авіаційна;16;;female;0;0;0;0;0;0;0;0
вул.Авіаційна;17;;female;0;0;0;0;0;0;0;0
вул.Авіаційна;19;;female;0;0;2;0;3;1;0;6
вул.Авіаційна;1а;;female;1;4;0;4;7;0;0;16
вул.Авіаційна;1б;;female;7;8;2;19;4;0;0;40
вул.Авіаційна;1в;;female;0;2;2;6;3;0;0;13
вул.Авіаційна;1г;;female;1;3;1;3;2;0;0;10
вул.Авіаційна;22а;;female;0;0;1;3;2;0;0;6
вул.Авіаційна;3а;;female;3;1;2;3;5;3;0;17
вул.Авіаційна;3б;;female;0;1;0;1;0;0;0;2
вул.Авіаційна;3в;;female;1;1;1;2;1;0;0;6
вул.Агабек Заде;2;;female;0;0;0;0;0;1;0;1
вул.Агабек Заде;3;;female;0;0;0;0;0;1;0;1
вул.Агабек Заде;4;;female;0;0;0;1;0;1;0;2
вул.Агабек Заде;5;;female;0;0;0;1;1;1;0;3
вул.Агрусова;10;;female;0;0;1;2;2;0;0;5
вул.Агрусова;3;;female;0;1;0;1;0;0;0;2
вул.Азовська;2;;female;1;0;0;2;1;3;0;7
вул.Азовська;3;;female;0;0;0;1;1;1;0;3
вул.Азовська;4;;female;0;0;0;2;2;3;0;7
вул.Азовська;5;;female;1;0;0;1;2;1;0;5
вул.Азовська;6;;female;0;0;0;2;1;2;0;5
вул.Азовська;7;;female;0;1;0;1;2;0;0;4
вул.Азовська;8;;female;0;2;2;2;5;3;0;14
вул.Айвазовського І ;1;;female;1;0;0;1;1;0;0;3
вул.Айвазовського І ;10;;female;1;11;8;16;25;33;0;94
вул.Айвазовського І ;11;;female;0;0;0;0;1;2;0;3
вул.Айвазовського І ;11а;;female;2;0;0;2;2;0;0;6
вул.Айвазовського І ;11б,;;female;0;0;0;0;1;0;0;1
вул.Айвазовського І ;12;;female;1;5;6;17;30;34;0;93
вул.Айвазовського І ;1б;;female;0;0;0;0;0;1;0;1
вул.Айвазовського І ;22;;female;8;21;8;38;68;60;0;203
вул.Айвазовського І ;3;;female;0;0;0;0;0;1;0;1
вул.Айвазовського І ;3а;;female;0;0;0;0;0;1;0;1
вул.Айвазовського І ;3б;;female;0;0;0;0;0;0;0;0
вул.Айвазовського І ;5;;female;0;1;0;1;0;2;0;4
вул.Айвазовського І ;5а;;female;0;0;0;0;1;0;0;1
вул.Айвазовського І ;5б;;female;0;0;0;0;0;1;0;1
вул.Айвазовського І ;5в;;female;0;0;0;0;1;0;0;1
вул.Айвазовського І ;7;;female;0;0;1;1;1;1;0;4
вул.Айвазовського І ;7а;;female;0;0;0;0;0;0;0;0
вул.Айвазовського І ;7б;;female;1;0;0;2;1;0;0;4
вул.Айвазовського І ;9;;female;0;3;1;4;6;3;0;17
вул.Айвазовського І ;9а;;female;2;0;0;2;1;2;0;7
вул.Акацієва;11а;;female;0;0;1;0;0;0;0;1
вул.Акацієва;13;;female;0;0;0;1;0;0;0;1
вул.Акацієва;15;;female;0;0;0;1;1;0;0;2
вул.Акацієва;17;;female;1;0;0;1;1;0;0;3
вул.Акацієва;17а;;female;0;0;0;0;0;1;0;1
вул.Акацієва;18;;female;0;0;0;0;1;0;0;1
вул.Акацієва;22;;female;0;2;0;2;1;0;0;5
вул.Акацієва;23;;female;0;2;0;1;1;1;0;5
вул.Акацієва;25;;female;0;0;0;1;1;1;0;3
вул.Акацієва;25а;;female;0;0;0;0;0;1;0;1
вул.Акацієва;31;;female;0;1;0;0;1;1;0;3
вул.Акацієва;7;;female;0;0;0;1;2;2;0;5
вул.Акацієва;9;;female;0;0;0;1;0;1;0;2
вул.Алмазна;10;;female;2;0;0;2;4;2;0;10
вул.Алмазна;15;;female;0;2;0;2;4;3;0;11
вул.Алмазна;17;;female;0;1;1;8;7;4;0;21
вул.Алмазна;19;;female;1;0;1;3;3;7;0;15
вул.Алмазна;19а;;female;1;1;1;5;6;7;0;21
вул.Алмазна;2;;female;1;0;0;3;1;1;0;6
вул.Алмазна;21;;female;1;0;2;3;4;4;0;14
вул.Алмазна;21а;;female;1;1;5;4;9;7;0;27
вул.Алмазна;21б;;female;2;1;1;6;7;7;0;24
вул.Алмазна;22;;female;1;1;2;3;3;3;0;13
вул.Алмазна;22а;;female;0;1;0;1;5;7;0;14
вул.Алмазна;24;;female;1;4;0;4;3;3;0;15
