SName;Building;BuildingPart;Gender;CntAgeCat1;CntAgeCat2;CntAgeCat3;CntAgeCat4;CntAgeCat5;CntAgeCat6;CntAgeCatNull;CntAgeAll
5-й парк;1;;female;0;0;0;0;0;0;0;0
Абхазька;1;;female;0;1;0;1;0;1;0;3
Абхазька;10а;;female;0;0;0;0;0;0;0;0
Абхазька;1а;;female;0;0;0;0;2;1;0;3
Абхазька;1а;б;female;0;1;0;0;0;0;0;1
Абхазька;2;;female;0;1;0;0;1;0;0;2
Абхазька;4;;female;1;2;0;0;1;1;0;5
Абхазька;5;;female;0;0;0;1;0;1;0;2
Абхазька;6;;female;0;0;0;0;1;1;0;2
Абхазька;9;;female;0;0;0;0;1;0;0;1
Авіаційна;1;;female;5;24;9;40;27;3;0;108
Авіаційна;12;;female;0;0;0;1;0;1;0;2
Авіаційна;14;;female;0;0;0;1;0;0;0;1
Авіаційна;16;;female;0;0;0;0;0;0;0;0
Авіаційна;17;;female;0;0;0;0;0;0;0;0
Авіаційна;19;;female;0;0;2;0;3;1;0;6
Авіаційна;1а;;female;1;4;0;4;7;0;0;16
Авіаційна;1б;;female;7;8;2;19;4;0;0;40
Авіаційна;1в;;female;0;2;2;6;3;0;0;13
Авіаційна;1г;;female;1;3;1;3;2;0;0;10
Авіаційна;22а;;female;0;0;1;3;2;0;0;6
Авіаційна;3а;;female;3;1;2;3;5;3;0;17
Авіаційна;3б;;female;0;1;0;1;0;0;0;2
Авіаційна;3в;;female;1;1;1;2;1;0;0;6
Агабек Заде;2;;female;0;0;0;0;0;1;0;1
Агабек Заде;3;;female;0;0;0;0;0;1;0;1
Агабек Заде;4;;female;0;0;0;1;0;1;0;2
Агабек Заде;5;;female;0;0;0;1;1;1;0;3
Агрусова;10;;female;0;0;1;2;2;0;0;5
Агрусова;3;;female;0;1;0;1;0;0;0;2
Азовська;2;;female;1;0;0;2;1;3;0;7
Азовська;3;;female;0;0;0;1;1;1;0;3
Азовська;4;;female;0;0;0;2;2;3;0;7
Азовська;5;;female;1;0;0;1;2;1;0;5
Азовська;6;;female;0;0;0;2;1;2;0;5
Азовська;7;;female;0;1;0;1;2;0;0;4
Азовська;8;;female;0;2;2;2;5;3;0;14
Айвазовського І.;1;;female;1;0;0;1;1;0;0;3
Айвазовського І.;10;;female;1;11;8;16;25;33;0;94
Айвазовського І.;11;;female;0;0;0;0;1;2;0;3
Айвазовського І.;11а;;female;2;0;0;2;2;0;0;6
Айвазовського І.;11б,;;female;0;0;0;0;1;0;0;1
Айвазовського І.;12;;female;1;5;6;17;30;34;0;93
Айвазовського І.;1б;;female;0;0;0;0;0;1;0;1
Айвазовського І.;22;;female;8;21;8;38;68;60;0;203
Айвазовського І.;3;;female;0;0;0;0;0;1;0;1
Айвазовського І.;3а;;female;0;0;0;0;0;1;0;1
Айвазовського І.;3б;;female;0;0;0;0;0;0;0;0
Айвазовського І.;5;;female;0;1;0;1;0;2;0;4
Айвазовського І.;5а;;female;0;0;0;0;1;0;0;1
Айвазовського І.;5б;;female;0;0;0;0;0;1;0;1
Айвазовського І.;5в;;female;0;0;0;0;1;0;0;1
Айвазовського І.;7;;female;0;0;1;1;1;1;0;4
Айвазовського І.;7а;;female;0;0;0;0;0;0;0;0
Айвазовського І.;7б;;female;1;0;0;2;1;0;0;4
Айвазовського І.;9;;female;0;3;1;4;6;3;0;17
Айвазовського І.;9а;;female;2;0;0;2;1;2;0;7
Акацієва;11а;;female;0;0;1;0;0;0;0;1
Акацієва;13;;female;0;0;0;1;0;0;0;1
Акацієва;15;;female;0;0;0;1;1;0;0;2
Акацієва;17;;female;1;0;0;1;1;0;0;3
Акацієва;17а;;female;0;0;0;0;0;1;0;1
Акацієва;18;;female;0;0;0;0;1;0;0;1
Акацієва;22;;female;0;2;0;2;1;0;0;5
Акацієва;23;;female;0;2;0;1;1;1;0;5
Акацієва;25;;female;0;0;0;1;1;1;0;3
Акацієва;25а;;female;0;0;0;0;0;1;0;1
Акацієва;31;;female;0;1;0;0;1;1;0;3
Акацієва;7;;female;0;0;0;1;2;2;0;5
Акацієва;9;;female;0;0;0;1;0;1;0;2
Алмазна;10;;female;2;0;0;2;4;2;0;10
Алмазна;15;;female;0;2;0;2;4;3;0;11
Алмазна;17;;female;0;1;1;8;7;4;0;21
Алмазна;19;;female;1;0;1;3;3;7;0;15
Алмазна;19а;;female;1;1;1;5;6;7;0;21
