lat,long,number_of_people
49.88202374,24.04117667,13
49.88189941,24.04251208,1
49.88179541,24.04148360,5
49.88188511,24.04186232,14
49.88195588,24.04172288,5
49.88184524,24.04204621,4
49.88201884,24.04282756,1
49.82431046,23.94125844,434
49.81296390,23.92852964,2
49.81277860,23.92889133,2
49.81264667,23.92923570,2
49.81243578,23.92904904,1
49.81188239,23.92863010,12
49.81312719,23.92790797,10
49.81951411,23.93435886,40
49.82679951,23.96060747,5
49.82665939,23.96053715,2
49.82681219,23.96038393,6
49.82669924,23.96027539,5
49.86629641,23.96023769,10
49.86597431,23.95985609,2
49.82733620,24.05250370,10
49.82768169,24.05248799,3
49.82744861,24.05274878,12
49.82793877,24.05204980,10
49.82758568,24.05281379,10
49.82783859,24.05272384,5
49.82777128,24.05298301,25
49.81432260,23.99947043,8
49.81422692,23.99821364,169
49.81331677,23.99959232,15
49.81354043,23.99792989,176
49.81202443,23.99760774,386
49.81367010,23.99969383,5
49.81389655,23.99934112,16
49.81372396,23.99878498,13
49.81357824,23.99937445,48
49.86047826,24.00629604,2
49.86060721,24.00619033,5
49.86062394,24.00598791,4
49.86049003,24.00569178,7
49.86085761,24.00488186,6
49.86092232,24.00458204,6
49.86071748,24.00500377,9
49.86057933,24.00472678,8
49.86084631,24.00432890,5
49.86038048,24.00763422,9
49.86038607,24.00677957,3
49.84852058,23.98094568,23
49.84890513,23.98217166,17
49.84894986,23.98273449,43
49.84965325,23.98306712,74
49.84828945,23.97999727,14
49.84967199,23.98330311,121
49.84887709,23.98351241,52
49.84890664,23.98387582,20
49.87257846,23.95528020,19
49.87241265,23.95495456,8
49.87235431,23.95514669,1
49.87163672,23.95450720,4
49.85782116,24.00988169,6
49.85768077,24.00921749,8
49.85782039,24.00973175,2
49.85763128,24.00800455,7
49.85777570,24.00904929,14
49.85750067,24.01082782,11
49.85781763,24.01059716,5
49.85768238,24.01082067,10
49.85781619,24.01044325,4
49.85761947,24.01008641,11
49.85778618,24.01024682,3
49.85765514,24.00971713,4
49.84120805,23.97510764,5
49.84090605,23.97513688,13
49.84065342,23.97489604,10
49.84124038,23.97430318,221
49.84043597,23.97495119,5
49.84099559,23.97454821,5
49.84075643,23.97462456,4
49.83991104,23.97508004,5
49.84059077,23.97465728,8
49.83950773,23.97517294,8
49.84033023,23.97472900,8
49.83933839,23.97521650,5
49.84010645,23.97477294,5
49.84144646,23.97458514,6
49.83575237,24.00801584,21
49.83585314,24.00783565,10
49.83592850,24.00770105,4
49.83598628,24.00759696,6
49.83625399,24.00689247,7
49.83619550,24.00700076,5
49.79194318,24.06077858,571
49.79234294,24.06100743,257
49.79261818,24.06169140,227
49.79193763,24.06430646,40
49.79206668,24.06251431,421
49.78511100,24.06780323,338
49.78503784,24.06890486,282
49.78441826,24.06938948,186
49.78461090,24.06849843,155
49.78750828,24.06794280,181
49.78385717,24.06822936,410
49.78390893,24.06919156,458
49.78310643,24.06869211,597
49.78323858,24.06743133,364
49.78254950,24.06703552,254
49.78735190,24.06921024,2
49.78219273,24.06783123,198
49.78185696,24.06659776,378
49.78638647,24.06867714,511
49.78702285,24.06906384,54
49.78554900,24.06919906,300
