,ID,NAME,ADDRESS,latitude,longitude,class
0,1,ЗДО «Еколенд»,"вул. Плугова, 12",49.873354,24.044698,kindergarden
1,2,ЗДО «Казка»,"вул. Патона, 24",49.821732,23.959911,kindergarden
2,3,ЗДО № 1,вул. Олени Степанівни 48 А,49.841429,23.997734,kindergarden
3,4,ЗДО № 104,"вул. Липинського, 14 ",49.856271,24.022812,kindergarden
4,5,ЗДО № 105,"вул. Пасічна,15",49.832398,24.067164,kindergarden
5,6,ЗДО № 106,"вул. Хвильового, 11 ",49.867875,24.030685,kindergarden
6,7,ЗДО № 109,"вул. Рутковича, 14",49.826309,24.031293,kindergarden
7,8,ЗДО № 114,"вул. Караджича, 20",49.823039,23.970753,kindergarden
8,9,ЗДО № 116,"вул.Джерельна ,71",49.852775,24.018290,kindergarden
9,10,ЗДО № 118,"вул.Дністерська, 7а",49.815260,24.053914,kindergarden
10,11,ЗДО № 12,"вул. Довбуша, 20",49.844279,24.043509,kindergarden
11,12,ЗДО № 121,"вул. Дашкевича, 17 ",49.856026,24.033933,kindergarden
12,13,ЗДО № 125,"вул. Героїв УПА, 41",49.830636,23.998785,kindergarden
13,14,ЗДО № 127,"вул. С. Петлюри, 19а",49.818973,23.975899,kindergarden
14,15,ЗДО № 128,"вул. Кондукторська,18",49.829852,23.978403,kindergarden
15,16,ЗДО № 129,"вул. Є. Коновальця, 79",49.826774,23.999345,kindergarden
16,17,ЗДО № 130,"вул.Трильовського, 9",49.784659,24.064797,kindergarden
17,18,ЗДО № 131,"вул. Антоновича,109а",49.825954,23.993571,kindergarden
18,19,ЗДО № 132,"вул. Сагайдачного, 21",49.838364,24.057385,kindergarden
19,20,ЗДО № 133,"вул. Грінченка, 18 ",49.873176,24.048801,kindergarden
20,21,ЗДО № 134,"вул. В. Великого, 55",49.807706,24.001406,kindergarden
21,22,ЗДО № 135,"вул. Героїв Майдану, 8а",49.828834,24.016772,kindergarden
22,23,ЗДО № 136,"вул. Каховська, 10",49.824781,23.951668,kindergarden
23,24,ЗДО № 139,"вул. Ряшівська, 25",49.819234,23.961168,kindergarden
24,25,ЗДО № 14-Ш,"вул. Щурата, 2 ",49.879573,24.040794,kindergarden
25,26,ЗДО № 14-Л,"вул. Новознесенська,42",49.855076,24.055775,kindergarden
26,27,ЗДО № 143,"вул. Макаренка, 9 ",49.901855,23.942512,kindergarden
27,28,ЗДО № 144,"вул. Б.Хмельницького, 93 ",49.851300,24.032357,kindergarden
28,29,ЗДО № 147,"вул. Шевченка, 380 ",49.869107,23.947858,kindergarden
29,30,ЗДО № 149,"вул. Личаківська, 106 б",49.836120,24.057241,kindergarden
30,31,ЗДО № 153,"вул. Наукова,108",49.806148,23.987873,kindergarden
31,32,ЗДО № 154,"вул. Хвильового, 18 ",49.867007,24.040130,kindergarden
32,33,ЗДО № 155,"вул. Наукова,32",49.804059,23.999685,kindergarden
33,34,ЗДО № 156,"вул. Горького, 2а",49.815246,24.129291,kindergarden
34,35,ЗДО № 159,"вул. Пулюя,7",49.801524,23.989041,kindergarden
35,36,ЗДО № 160,"вул. Роксоляни, 27",49.844579,23.961296,kindergarden
36,37,ЗДО № 163,"вул. Симоненка,16",49.805630,23.983109,kindergarden
37,38,ЗДО № 165,"вул. Пулюя,27",49.799866,23.992602,kindergarden
38,39,ЗДО № 167,"вул. Масарика, 7 ",49.857961,24.012357,kindergarden
39,40,ЗДО № 169,"вул.Тернопільська, 12",49.815416,24.037606,kindergarden
40,41,ЗДО № 170,"вул.Ярославенка, 24",49.816430,24.028740,kindergarden
41,42,ЗДО № 171,"вул. Гетьмана Мазепи, 5а ",49.869640,24.027175,kindergarden
42,43,ЗДО № 175,"вул.Антоненка-Давидовича, 11",49.791318,24.061821,kindergarden
43,44,ЗДО Пізнайко,"вул.Кос-Анатольського, 8",49.787969,24.061116,kindergarden
44,45,ЗДО № 179,"вул.Чукаріна, 16",49.797773,24.041098,kindergarden
45,46,ЗДО № 180,"вул.Грушевського,56",49.831971,24.032601,kindergarden
46,47,ЗДО № 181,"вул.Кавалерідзе, 13",49.791293,24.065939,kindergarden
47,48,ЗДО № 183,"вул.Хуторівка, 44",49.799641,24.051767,kindergarden
48,49,ЗДО № 184 «Лісова казка»,"вул. Величковського, 12 ",49.876657,23.935276,kindergarden
49,50,ЗДО № 187,"вул. Чигиринська, 17 ",49.867536,24.051305,kindergarden
50,51,ЗДО № 2,"вул. Широка, 78",49.842284,23.960984,kindergarden
51,52,ЗДО № 21,"вул.Грабовського, 3",49.832305,24.019784,kindergarden
52,53,ЗДО № 23,"вул. Вернигори, 7",49.838732,24.004682,kindergarden
53,54,ЗДО № 25,"вул. Листопадового Чину, 26",49.837783,24.015847,kindergarden
54,55,ЗДО № 26,"вул. Гушалевича, 5",49.841993,24.008164,kindergarden
55,56,ЗДО № 29,"вул. Чайковського, 22",49.835277,24.026352,kindergarden
56,57,ЗДО № 3,"вул. Коновальця,124",49.823495,23.992048,kindergarden
57,58,ЗДО № 30,"вул. Низинна, 29",49.838462,23.969888,kindergarden
58,59,ЗДО № 31,"вул. П.Панча, 16 ",49.862130,24.010538,kindergarden
59,60,ЗДО № 32,"вул. Коцюбинського, 21а",49.829185,24.024956,kindergarden
60,61,ЗДО № 33,"вул. В.Великого,13а",49.806073,24.011898,kindergarden
61,62,ЗДО № 35,"вул.Карманського, 7",49.818830,24.027713,kindergarden
62,63,ЗДО № 37,"вул. Княгині Ольги,59а",49.806753,23.998776,kindergarden
63,64,ЗДО № 38,"вул. Уласа Самчука, 21",49.822009,24.031363,kindergarden
64,65,ЗДО № 40,"вул.Трильовського, 10",49.784848,24.062440,kindergarden
65,66,ЗДО № 41,"вул.Тарнавського, 100а",49.825866,24.038047,kindergarden
66,67,ЗДО № 42,"вул. Сміливих,26",49.817823,24.008073,kindergarden
67,68,ЗДО № 43,"вул.Кирила і Мефодія, 11",49.831542,24.031438,kindergarden
68,69,ЗДО № 44,"вул.Зубрівська, 5",49.795945,24.063424,kindergarden
69,70,ЗДО № 45,"вул.Родини Крушельницьких, 23",49.824752,24.048251,kindergarden
70,71,ЗДО № 48,"вул. Метрологічна,16",49.828059,24.008701,kindergarden
71,72,ЗДО № 51,"вул. Виговського, 43а",49.817765,23.970857,kindergarden
72,73,ЗДО № 52,"вул. Пасічна, 94",49.815423,24.074010,kindergarden
